Study_ID,Citation,Year,SAR_TYPE,Island.Type,Lat,Long,Study location,Ecoregion,Number of islands/patches in study,Island_or_Mainland,Min_A,Max_A,Range(order of magnitude),Island Area (m2),Distance From Mainland (m),Species Richness,Total species richness on islands ,Total species richness on islands and mianland,Sampling Method,Number of Sampling Methods,Z,Std. Error,R2,Signifcant?,Notes,
3,"Clark et al, 2011",2005-2018,Insular,Continental,42.3602,-71.0524,Boston Harbor Islands,Nearctic,9,Mainland,10000,1200000,2.079181246,1080000,0,40,48,51,"Pitfall, Malaise,UV, hand sampling",5,0.04,0.056,0.06,Y,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,162000000,63000,17,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,33000000,66000,13,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,240000,57000,1,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,96000000,54000,19,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,56000000,44000,14,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,26000000,41000,18,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,6000000,44000,5,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,4000000,45000,3,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,36500000,30000,12,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,1000000,24000,1,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,10000000,23500,4,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,16000000,18500,11,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,24000000,10000,14,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
