Study_ID,Citation,SAR_TYPE,Study_location,Biogeo_realm,Number of islands/patches in study,Area,Richness
33,"Wetterer, J.K., X. Espadaler, A.L. Wetterer, and S.G.M. Cabral. 2004. Native and exotic ants of the Azores (Hymenoptera: Formicidae). Sociobiology 44: 1-20.",Insular,"Azores, Portugal",Palearctic,9,261000000,5
33,"Wetterer, J.K., X. Espadaler, A.L. Wetterer, and S.G.M. Cabral. 2004. Native and exotic ants of the Azores (Hymenoptera: Formicidae). Sociobiology 44: 1-20.",Insular,"Azores, Portugal",Palearctic,9,182000000,8
33,"Wetterer, J.K., X. Espadaler, A.L. Wetterer, and S.G.M. Cabral. 2004. Native and exotic ants of the Azores (Hymenoptera: Formicidae). Sociobiology 44: 1-20.",Insular,"Azores, Portugal",Palearctic,9,461000000,8
33,"Wetterer, J.K., X. Espadaler, A.L. Wetterer, and S.G.M. Cabral. 2004. Native and exotic ants of the Azores (Hymenoptera: Formicidae). Sociobiology 44: 1-20.",Insular,"Azores, Portugal",Palearctic,9,416000000,8
33,"Wetterer, J.K., X. Espadaler, A.L. Wetterer, and S.G.M. Cabral. 2004. Native and exotic ants of the Azores (Hymenoptera: Formicidae). Sociobiology 44: 1-20.",Insular,"Azores, Portugal",Palearctic,9,769000000,12
34,"Wetterer, J.K. 2006. Ants (Hymenoptera: Formicidae) of Niue, Polynesia. Pacific Science 60: 413-416. ",Insular,"Niue, Polynesia",Oceania,1,261600000,33
35,"Wetterer, J.K., D. Lubertazzi, and E.O. Wilson. 2019. Ants (Hymenoptera: Formicidae) of Grenada. Bulletin of the Museum of Comparative Zoology 162(5): 1-38. ",Insular,West Indian Isands,Neotropic,3,344000000,70
35,"Wetterer, J.K., D. Lubertazzi, and E.O. Wilson. 2019. Ants (Hymenoptera: Formicidae) of Grenada. Bulletin of the Museum of Comparative Zoology 162(5): 1-38. ",Insular,West Indian Isands,Neotropic,3,381000000,82
35,"Wetterer, J.K., D. Lubertazzi, and E.O. Wilson. 2019. Ants (Hymenoptera: Formicidae) of Grenada. Bulletin of the Museum of Comparative Zoology 162(5): 1-38. ",Insular,West Indian Isands,Neotropic,3,381000000,85
36,"Wetterer, J.K., X. Espadaler, P. Ashmole, C. Cutler, and J. Endeman. 2007. Ants (Hymenoptera: Formicidae) of the South Atlantic islands of Ascension Island, St Helena, and Tristan da Cunha. Myrmecological News 10: 29-37",Insular,Mid-Atlantic Ridge Islands,Afrotropic,3,103000000,1
36,"Wetterer, J.K., X. Espadaler, P. Ashmole, C. Cutler, and J. Endeman. 2007. Ants (Hymenoptera: Formicidae) of the South Atlantic islands of Ascension Island, St Helena, and Tristan da Cunha. Myrmecological News 10: 29-37",Insular,Mid-Atlantic Ridge Islands,Afrotropic,3,97000000,10
36,"Wetterer, J.K., X. Espadaler, P. Ashmole, C. Cutler, and J. Endeman. 2007. Ants (Hymenoptera: Formicidae) of the South Atlantic islands of Ascension Island, St Helena, and Tristan da Cunha. Myrmecological News 10: 29-37",Insular,Mid-Atlantic Ridge Islands,Afrotropic,3,126000000,16
37,"Wetterer, unpublished data",Insular,"Cabo Verde, Atlantic",Afrotropic,9,634000000,13
37,"Wetterer, unpublished data",Insular,"Cabo Verde, Atlantic",Afrotropic,9,233000000,13
37,"Wetterer, unpublished data",Insular,"Cabo Verde, Atlantic",Afrotropic,9,67000000,14
37,"Wetterer, unpublished data",Insular,"Cabo Verde, Atlantic",Afrotropic,9,352000000,14
37,"Wetterer, unpublished data",Insular,"Cabo Verde, Atlantic",Afrotropic,9,279000000,16
37,"Wetterer, unpublished data",Insular,"Cabo Verde, Atlantic",Afrotropic,9,634000000,19
37,"Wetterer, unpublished data",Insular,"Cabo Verde, Atlantic",Afrotropic,9,787000000,20
37,"Wetterer, unpublished data",Insular,"Cabo Verde, Atlantic",Afrotropic,9,475000000,22
37,"Wetterer, unpublished data",Insular,"Cabo Verde, Atlantic",Afrotropic,9,940000000,24
38,"Wetterer, unpublished data",Insular,Ireland,Palearctic,1,81638000000,28
39,"Baroni Urbani, C. 1968. Studi sulla mirmecofauna d'Italia. IV. La fauna mirmecologica delle isole Maltesi ed il suo significato ecologico e biogeografico. Ann. Mus. Civ. Stor. Nat. ""Giacomo Doria"" 77: 408-559.",Insular,Malta Archipelago,Palearctic,9,25711000000,43
39,"Baroni Urbani, C. 1968. Studi sulla mirmecofauna d'Italia. IV. La fauna mirmecologica delle isole Maltesi ed il suo significato ecologico e biogeografico. Ann. Mus. Civ. Stor. Nat. ""Giacomo Doria"" 77: 408-559.",Insular,Malta Archipelago,Palearctic,9,83009119,10
39,"Baroni Urbani, C. 1968. Studi sulla mirmecofauna d'Italia. IV. La fauna mirmecologica delle isole Maltesi ed il suo significato ecologico e biogeografico. Ann. Mus. Civ. Stor. Nat. ""Giacomo Doria"" 77: 408-559.",Insular,Malta Archipelago,Palearctic,9,67002992,16
39,"Baroni Urbani, C. 1968. Studi sulla mirmecofauna d'Italia. IV. La fauna mirmecologica delle isole Maltesi ed il suo significato ecologico e biogeografico. Ann. Mus. Civ. Stor. Nat. ""Giacomo Doria"" 77: 408-559.",Insular,Malta Archipelago,Palearctic,9,3499073.9,11
39,"Baroni Urbani, C. 1968. Studi sulla mirmecofauna d'Italia. IV. La fauna mirmecologica delle isole Maltesi ed il suo significato ecologico e biogeografico. Ann. Mus. Civ. Stor. Nat. ""Giacomo Doria"" 77: 408-559.",Insular,Malta Archipelago,Palearctic,9,316000000,26
39,"Baroni Urbani, C. 1968. Studi sulla mirmecofauna d'Italia. IV. La fauna mirmecologica delle isole Maltesi ed il suo significato ecologico e biogeografico. Ann. Mus. Civ. Stor. Nat. ""Giacomo Doria"" 77: 408-559.",Insular,Malta Archipelago,Palearctic,9,5449335,4
39,"Baroni Urbani, C. 1968. Studi sulla mirmecofauna d'Italia. IV. La fauna mirmecologica delle isole Maltesi ed il suo significato ecologico e biogeografico. Ann. Mus. Civ. Stor. Nat. ""Giacomo Doria"" 77: 408-559.",Insular,Malta Archipelago,Palearctic,9,20199317,13
39,"Baroni Urbani, C. 1968. Studi sulla mirmecofauna d'Italia. IV. La fauna mirmecologica delle isole Maltesi ed il suo significato ecologico e biogeografico. Ann. Mus. Civ. Stor. Nat. ""Giacomo Doria"" 77: 408-559.",Insular,Malta Archipelago,Palearctic,9,34561,7
39,"Baroni Urbani, C. 1968. Studi sulla mirmecofauna d'Italia. IV. La fauna mirmecologica delle isole Maltesi ed il suo significato ecologico e biogeografico. Ann. Mus. Civ. Stor. Nat. ""Giacomo Doria"" 77: 408-559.",Insular,Malta Archipelago,Palearctic,9,36259.834,1
40,"Baroni Urbani, C. 1971. Studien zur Ameisenfauna Italiens XI. Die Ameisen des Toskanischen Archipels. Betrachtungen zur Herkunft der Inselfaunen. Rev. Suisse Zool. 7 78: 1037-1067.",Insular,Tuscan Archipelago,Palearctic,22,224008000,31
40,"Baroni Urbani, C. 1971. Studien zur Ameisenfauna Italiens XI. Die Ameisen des Toskanischen Archipels. Betrachtungen zur Herkunft der Inselfaunen. Rev. Suisse Zool. 7 78: 1037-1067.",Insular,Tuscan Archipelago,Palearctic,22,23799401,31
40,"Baroni Urbani, C. 1971. Studien zur Ameisenfauna Italiens XI. Die Ameisen des Toskanischen Archipels. Betrachtungen zur Herkunft der Inselfaunen. Rev. Suisse Zool. 7 78: 1037-1067.",Insular,Tuscan Archipelago,Palearctic,22,19321311,24
40,"Baroni Urbani, C. 1971. Studien zur Ameisenfauna Italiens XI. Die Ameisen des Toskanischen Archipels. Betrachtungen zur Herkunft der Inselfaunen. Rev. Suisse Zool. 7 78: 1037-1067.",Insular,Tuscan Archipelago,Palearctic,22,10391032,14
40,"Baroni Urbani, C. 1971. Studien zur Ameisenfauna Italiens XI. Die Ameisen des Toskanischen Archipels. Betrachtungen zur Herkunft der Inselfaunen. Rev. Suisse Zool. 7 78: 1037-1067.",Insular,Tuscan Archipelago,Palearctic,22,10360000,16
40,"Baroni Urbani, C. 1971. Studien zur Ameisenfauna Italiens XI. Die Ameisen des Toskanischen Archipels. Betrachtungen zur Herkunft der Inselfaunen. Rev. Suisse Zool. 7 78: 1037-1067.",Insular,Tuscan Archipelago,Palearctic,22,2999206.2,15
40,"Baroni Urbani, C. 1971. Studien zur Ameisenfauna Italiens XI. Die Ameisen des Toskanischen Archipels. Betrachtungen zur Herkunft der Inselfaunen. Rev. Suisse Zool. 7 78: 1037-1067.",Insular,Tuscan Archipelago,Palearctic,22,2227390,22
40,"Baroni Urbani, C. 1971. Studien zur Ameisenfauna Italiens XI. Die Ameisen des Toskanischen Archipels. Betrachtungen zur Herkunft der Inselfaunen. Rev. Suisse Zool. 7 78: 1037-1067.",Insular,Tuscan Archipelago,Palearctic,22,699296.8,7
40,"Baroni Urbani, C. 1971. Studien zur Ameisenfauna Italiens XI. Die Ameisen des Toskanischen Archipels. Betrachtungen zur Herkunft der Inselfaunen. Rev. Suisse Zool. 7 78: 1037-1067.",Insular,Tuscan Archipelago,Palearctic,22,4000,7
40,"Baroni Urbani, C. 1971. Studien zur Ameisenfauna Italiens XI. Die Ameisen des Toskanischen Archipels. Betrachtungen zur Herkunft der Inselfaunen. Rev. Suisse Zool. 7 78: 1037-1067.",Insular,Tuscan Archipelago,Palearctic,22,35071,3
40,"Baroni Urbani, C. 1971. Studien zur Ameisenfauna Italiens XI. Die Ameisen des Toskanischen Archipels. Betrachtungen zur Herkunft der Inselfaunen. Rev. Suisse Zool. 7 78: 1037-1067.",Insular,Tuscan Archipelago,Palearctic,22,16000,8
40,"Baroni Urbani, C. 1971. Studien zur Ameisenfauna Italiens XI. Die Ameisen des Toskanischen Archipels. Betrachtungen zur Herkunft der Inselfaunen. Rev. Suisse Zool. 7 78: 1037-1067.",Insular,Tuscan Archipelago,Palearctic,22,16000,2
40,"Baroni Urbani, C. 1971. Studien zur Ameisenfauna Italiens XI. Die Ameisen des Toskanischen Archipels. Betrachtungen zur Herkunft der Inselfaunen. Rev. Suisse Zool. 7 78: 1037-1067.",Insular,Tuscan Archipelago,Palearctic,22,2500,6
40,"Baroni Urbani, C. 1971. Studien zur Ameisenfauna Italiens XI. Die Ameisen des Toskanischen Archipels. Betrachtungen zur Herkunft der Inselfaunen. Rev. Suisse Zool. 7 78: 1037-1067.",Insular,Tuscan Archipelago,Palearctic,22,5300,6
40,"Baroni Urbani, C. 1971. Studien zur Ameisenfauna Italiens XI. Die Ameisen des Toskanischen Archipels. Betrachtungen zur Herkunft der Inselfaunen. Rev. Suisse Zool. 7 78: 1037-1067.",Insular,Tuscan Archipelago,Palearctic,22,12000,5
40,"Baroni Urbani, C. 1971. Studien zur Ameisenfauna Italiens XI. Die Ameisen des Toskanischen Archipels. Betrachtungen zur Herkunft der Inselfaunen. Rev. Suisse Zool. 7 78: 1037-1067.",Insular,Tuscan Archipelago,Palearctic,22,14000,2
40,"Baroni Urbani, C. 1971. Studien zur Ameisenfauna Italiens XI. Die Ameisen des Toskanischen Archipels. Betrachtungen zur Herkunft der Inselfaunen. Rev. Suisse Zool. 7 78: 1037-1067.",Insular,Tuscan Archipelago,Palearctic,22,13750,7
40,"Baroni Urbani, C. 1971. Studien zur Ameisenfauna Italiens XI. Die Ameisen des Toskanischen Archipels. Betrachtungen zur Herkunft der Inselfaunen. Rev. Suisse Zool. 7 78: 1037-1067.",Insular,Tuscan Archipelago,Palearctic,22,3120,1
40,"Baroni Urbani, C. 1971. Studien zur Ameisenfauna Italiens XI. Die Ameisen des Toskanischen Archipels. Betrachtungen zur Herkunft der Inselfaunen. Rev. Suisse Zool. 7 78: 1037-1067.",Insular,Tuscan Archipelago,Palearctic,22,14000,11
40,"Baroni Urbani, C. 1971. Studien zur Ameisenfauna Italiens XI. Die Ameisen des Toskanischen Archipels. Betrachtungen zur Herkunft der Inselfaunen. Rev. Suisse Zool. 7 78: 1037-1067.",Insular,Tuscan Archipelago,Palearctic,22,150,1
40,"Baroni Urbani, C. 1971. Studien zur Ameisenfauna Italiens XI. Die Ameisen des Toskanischen Archipels. Betrachtungen zur Herkunft der Inselfaunen. Rev. Suisse Zool. 7 78: 1037-1067.",Insular,Tuscan Archipelago,Palearctic,22,5500,6
40,"Baroni Urbani, C. 1971. Studien zur Ameisenfauna Italiens XI. Die Ameisen des Toskanischen Archipels. Betrachtungen zur Herkunft der Inselfaunen. Rev. Suisse Zool. 7 78: 1037-1067.",Insular,Tuscan Archipelago,Palearctic,22,5300,6
41,"Baroni Urbani, C. 1974. Studi sulla mirmecofauna d'Italia. XII. Le Isole Pontine. Fragm. Entomol. 9: 225-252.",Insular,Pontine islands,Palearctic,10,7000000,18
41,"Baroni Urbani, C. 1974. Studi sulla mirmecofauna d'Italia. XII. Le Isole Pontine. Fragm. Entomol. 9: 225-252.",Insular,Pontine islands,Palearctic,10,1000000,22
41,"Baroni Urbani, C. 1974. Studi sulla mirmecofauna d'Italia. XII. Le Isole Pontine. Fragm. Entomol. 9: 225-252.",Insular,Pontine islands,Palearctic,10,1000000,10
41,"Baroni Urbani, C. 1974. Studi sulla mirmecofauna d'Italia. XII. Le Isole Pontine. Fragm. Entomol. 9: 225-252.",Insular,Pontine islands,Palearctic,10,270000,2
41,"Baroni Urbani, C. 1974. Studi sulla mirmecofauna d'Italia. XII. Le Isole Pontine. Fragm. Entomol. 9: 225-252.",Insular,Pontine islands,Palearctic,10,23000,1
41,"Baroni Urbani, C. 1974. Studi sulla mirmecofauna d'Italia. XII. Le Isole Pontine. Fragm. Entomol. 9: 225-252.",Insular,Pontine islands,Palearctic,10,18000,4
41,"Baroni Urbani, C. 1974. Studi sulla mirmecofauna d'Italia. XII. Le Isole Pontine. Fragm. Entomol. 9: 225-252.",Insular,Pontine islands,Palearctic,10,4000,3
41,"Baroni Urbani, C. 1974. Studi sulla mirmecofauna d'Italia. XII. Le Isole Pontine. Fragm. Entomol. 9: 225-252.",Insular,Pontine islands,Palearctic,10,3800,4
41,"Baroni Urbani, C. 1974. Studi sulla mirmecofauna d'Italia. XII. Le Isole Pontine. Fragm. Entomol. 9: 225-252.",Insular,Pontine islands,Palearctic,10,3700,1
41,"Baroni Urbani, C. 1974. Studi sulla mirmecofauna d'Italia. XII. Le Isole Pontine. Fragm. Entomol. 9: 225-252.",Insular,Pontine islands,Palearctic,10,2000,1
42,"Baroni Urbani, C. 1976. Le formiche dell'arcipelago della Galita (Tunisia). Redia 59: 207-223.",Insular,Galite Islands,Palearctic,1,8270000,15
43,"Borowiec, L.; Salata, S. 2018. Notes on ants (Hymenoptera: Formicidae) of Samos Island, Greece. Annals of the Upper Silesian Museum, Entomology 27(online003):1-13.",Insular,Aegean Sea,Palearctic,1,477335000,56
44,"Borowiec, L.; Salata, S. 2018e. Notes on ants (Hymenoptera: Formicidae) of Zakynthos Island, Greece. Annals of the Upper Silesian Museum, Entomology 27 (004):1-13.",Insular,Ionian islands,Palearctic,1,405540338,45
45,"Collingwood, C. A. 1993b. A comparative study of the ant fauna of five Greek islands. Biologia Gallo-Hellenica 20:191-197.",Insular,Ionian islands,Palearctic,1,786579000,26
45,"Collingwood, C. A. 1993b. A comparative study of the ant fauna of five Greek islands. Biologia Gallo-Hellenica 20:191-197.",Insular,Ionian islands,Palearctic,1,76197450,17
45,"Collingwood, C. A. 1993b. A comparative study of the ant fauna of five Greek islands. Biologia Gallo-Hellenica 20:191-197.",Insular,Ionian islands,Palearctic,1,302250000,40
45,"Collingwood, C. A. 1993b. A comparative study of the ant fauna of five Greek islands. Biologia Gallo-Hellenica 20:191-197.",Insular,Ionian islands,Palearctic,1,842523000,32
45,"Collingwood, C. A. 1993b. A comparative study of the ant fauna of five Greek islands. Biologia Gallo-Hellenica 20:191-197.",Insular,Ionian islands,Palearctic,1,405540338,24
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,12892323.28,66
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,1431925.361,59
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,1090311.275,68
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,550816.0912,54
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,463698.7829,48
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,322934.0729,40
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,120200.0001,30
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,28999.80836,35
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,28323.27532,35
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,25526.66665,29
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,22328.2375,19
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,17378.30584,34
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,15445.42073,31
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,15349,28
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,15243.81835,26
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,13992.96964,28
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,12552.66666,34
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,12024.72552,26
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,12020.5948,36
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,9647.009629,22
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,8329.445636,28
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,6661.450238,26
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,6400,27
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,5908.701887,21
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,5861.666668,22
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,3482.999996,18
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,3438.333337,21
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,3046,17
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,2265.333331,19
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,1651.666666,11
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,1607.666666,13
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,1451.666668,22
46,"Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land?bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",Mainland,Thousand Island Lake,Palearctic,33,1328.666668,13
47,"Poldi, B.; Mei, M.; Rigato, F. 1995. Hymenoptera Formicidae. Checklist delle Specie della Fauna Italiana 102:1-10.",Insular,Mediterranean Sea,Palearctic,2,25710800000,95
47,"Poldi, B.; Mei, M.; Rigato, F. 1995. Hymenoptera Formicidae. Checklist delle Specie della Fauna Italiana 102:1-10.",Insular,Mediterranean Sea,Palearctic,2,24089500000,65
48,"Legakis A. 2011. Annotated list of the ants (Hymenoptera, Formicidae) of Greece. Hellenic Zoological Archives. 7:1-55.",Insular,Greek Islands,Palearctic,1,8337170000,92
49,"Menozzi, C. 1936b. Nuovi contributi alla conoscenza della fauna delle Isole italiane dell'Egeo. VI. Hymenoptera - Formicidae. Bollettino del Laboratorio di Zoologia Generale e Agraria della Reale Scuola Superiore d'Agricoltura. Portici 29:262-311.",Insular,Greek Dodecanese islands,Palearctic,14,1401000000,48
49,"Menozzi, C. 1936b. Nuovi contributi alla conoscenza della fauna delle Isole italiane dell'Egeo. VI. Hymenoptera - Formicidae. Bollettino del Laboratorio di Zoologia Generale e Agraria della Reale Scuola Superiore d'Agricoltura. Portici 29:262-311.",Insular,Greek Dodecanese islands,Palearctic,14,287230000,21
49,"Menozzi, C. 1936b. Nuovi contributi alla conoscenza della fauna delle Isole italiane dell'Egeo. VI. Hymenoptera - Formicidae. Bollettino del Laboratorio di Zoologia Generale e Agraria della Reale Scuola Superiore d'Agricoltura. Portici 29:262-311.",Insular,Greek Dodecanese islands,Palearctic,14,111136000,11
49,"Menozzi, C. 1936b. Nuovi contributi alla conoscenza della fauna delle Isole italiane dell'Egeo. VI. Hymenoptera - Formicidae. Bollettino del Laboratorio di Zoologia Generale e Agraria della Reale Scuola Superiore d'Agricoltura. Portici 29:262-311.",Insular,Greek Dodecanese islands,Palearctic,14,65759798,2
49,"Menozzi, C. 1936b. Nuovi contributi alla conoscenza della fauna delle Isole italiane dell'Egeo. VI. Hymenoptera - Formicidae. Bollettino del Laboratorio di Zoologia Generale e Agraria della Reale Scuola Superiore d'Agricoltura. Portici 29:262-311.",Insular,Greek Dodecanese islands,Palearctic,14,61486318,2
49,"Menozzi, C. 1936b. Nuovi contributi alla conoscenza della fauna delle Isole italiane dell'Egeo. VI. Hymenoptera - Formicidae. Bollettino del Laboratorio di Zoologia Generale e Agraria della Reale Scuola Superiore d'Agricoltura. Portici 29:262-311.",Insular,Greek Dodecanese islands,Palearctic,14,66407295,7
49,"Menozzi, C. 1936b. Nuovi contributi alla conoscenza della fauna delle Isole italiane dell'Egeo. VI. Hymenoptera - Formicidae. Bollettino del Laboratorio di Zoologia Generale e Agraria della Reale Scuola Superiore d'Agricoltura. Portici 29:262-311.",Insular,Greek Dodecanese islands,Palearctic,14,34602241,5
49,"Menozzi, C. 1936b. Nuovi contributi alla conoscenza della fauna delle Isole italiane dell'Egeo. VI. Hymenoptera - Formicidae. Bollettino del Laboratorio di Zoologia Generale e Agraria della Reale Scuola Superiore d'Agricoltura. Portici 29:262-311.",Insular,Greek Dodecanese islands,Palearctic,14,41258511,5
49,"Menozzi, C. 1936b. Nuovi contributi alla conoscenza della fauna delle Isole italiane dell'Egeo. VI. Hymenoptera - Formicidae. Bollettino del Laboratorio di Zoologia Generale e Agraria della Reale Scuola Superiore d'Agricoltura. Portici 29:262-311.",Insular,Greek Dodecanese islands,Palearctic,14,26987676,2
